fuel-type,body-style,num-of-cylinders,engine-size,city-mpg,highway-mpg
gas,convertible,four,130,21,27
gas,convertible,four,130,21,27
gas,hatchback,six,152,19,26
gas,sedan,four,109,24,30
gas,sedan,five,136,18,22
gas,sedan,five,136,19,25
gas,sedan,five,136,19,25
gas,wagon,five,136,19,25
gas,sedan,five,131,17,20
gas,sedan,four,108,23,29
gas,sedan,four,108,23,29
gas,sedan,six,164,21,28
gas,sedan,six,164,21,28
gas,sedan,six,164,20,25
gas,sedan,six,209,16,22
gas,sedan,six,209,16,22
gas,sedan,six,209,15,20
gas,hatchback,four,90,38,43
gas,sedan,four,90,38,43
gas,hatchback,four,90,37,41
gas,hatchback,four,90,31,38
gas,hatchback,four,98,24,30
gas,hatchback,four,90,31,38
gas,sedan,four,90,31,38
gas,sedan,four,90,31,38
gas,sedan,four,98,24,30
gas,wagon,four,122,24,30
gas,hatchback,four,156,19,24
gas,hatchback,four,92,49,54
gas,hatchback,four,92,31,38
gas,hatchback,four,79,38,42
gas,hatchback,four,92,30,34
gas,hatchback,four,92,30,34
gas,sedan,four,92,30,34
gas,wagon,four,92,30,34
gas,hatchback,four,110,27,33
gas,hatchback,four,110,27,33
gas,sedan,four,110,27,33
gas,sedan,four,110,27,33
gas,sedan,four,110,24,28
gas,sedan,four,110,25,31
gas,sedan,four,111,24,29
gas,hatchback,four,119,24,29
gas,sedan,six,258,15,19
gas,sedan,six,258,15,19
gas,hatchback,four,91,30,31
gas,hatchback,four,91,31,38
gas,hatchback,four,91,31,38
gas,sedan,four,91,31,38
gas,sedan,four,91,31,38
gas,hatchback,two,70,17,23
gas,hatchback,two,70,17,23
gas,hatchback,two,70,17,23
gas,hatchback,two,80,16,23
gas,hatchback,four,122,26,32
gas,sedan,four,122,26,32
gas,hatchback,four,122,26,32
gas,sedan,four,122,26,32
diesel,sedan,four,122,36,42
gas,hatchback,four,122,26,32
gas,sedan,four,140,19,27
diesel,sedan,four,134,31,39
diesel,sedan,five,183,22,25
diesel,wagon,five,183,22,25
diesel,hardtop,five,183,22,25
diesel,sedan,five,183,22,25
gas,sedan,eight,234,16,18
gas,convertible,eight,234,16,18
gas,sedan,eight,308,14,16
gas,hardtop,eight,304,14,16
gas,hatchback,four,140,19,24
gas,hatchback,four,92,37,41
gas,hatchback,four,92,31,38
gas,hatchback,four,92,31,38
gas,hatchback,four,98,24,30
gas,hatchback,four,110,23,30
gas,hatchback,four,122,25,32
gas,hatchback,four,156,19,24
gas,hatchback,four,156,19,24
gas,hatchback,four,156,19,24
gas,sedan,four,122,25,32
gas,sedan,four,122,25,32
gas,sedan,four,110,23,30
gas,sedan,four,110,23,30
gas,sedan,four,97,31,37
diesel,sedan,four,103,45,50
gas,sedan,four,97,31,37
gas,sedan,four,97,31,37
gas,wagon,four,97,31,37
gas,sedan,four,97,31,37
gas,hatchback,four,97,31,37
gas,sedan,four,97,31,37
gas,wagon,four,97,31,37
gas,hardtop,four,97,31,37
gas,hatchback,four,120,27,34
gas,sedan,four,120,27,34
gas,sedan,six,181,17,22
gas,wagon,six,181,17,22
gas,sedan,six,181,19,25
gas,hatchback,six,181,19,25
gas,hatchback,six,181,17,23
gas,hatchback,six,181,19,25
gas,sedan,four,120,19,24
diesel,sedan,four,152,28,33
gas,wagon,four,120,19,24
diesel,wagon,four,152,25,25
gas,sedan,four,120,19,24
diesel,sedan,four,152,28,33
gas,wagon,four,120,19,24
diesel,wagon,four,152,25,25
gas,sedan,four,120,19,24
diesel,sedan,four,152,28,33
gas,sedan,four,134,18,24
gas,hatchback,four,90,37,41
gas,hatchback,four,98,24,30
gas,hatchback,four,90,31,38
gas,sedan,four,90,31,38
gas,sedan,four,98,31,38
gas,wagon,four,122,24,30
gas,hatchback,four,156,19,24
gas,hatchback,four,151,19,27
gas,hardtop,six,194,17,25
gas,hardtop,six,194,17,25
gas,convertible,six,194,17,25
gas,wagon,four,132,23,31
gas,hatchback,four,132,23,31
gas,hatchback,four,121,21,28
gas,sedan,four,121,21,28
gas,hatchback,four,121,21,28
gas,sedan,four,121,21,28
gas,hatchback,four,121,19,26
gas,sedan,four,121,19,26
gas,hatchback,four,97,31,36
gas,hatchback,four,108,26,31
gas,hatchback,four,108,26,31
gas,sedan,four,108,32,37
gas,sedan,four,108,28,33
gas,sedan,four,108,26,32
gas,sedan,four,108,24,25
gas,sedan,four,108,24,29
gas,wagon,four,108,28,32
gas,wagon,four,108,25,31
gas,wagon,four,108,23,29
gas,wagon,four,108,23,23
gas,hatchback,four,92,35,39
gas,hatchback,four,92,31,38
gas,hatchback,four,92,31,38
gas,wagon,four,92,31,37
gas,wagon,four,92,27,32
gas,wagon,four,92,27,32
gas,sedan,four,98,30,37
gas,hatchback,four,98,30,37
diesel,sedan,four,110,34,36
diesel,hatchback,four,110,38,47
gas,sedan,four,98,38,47
gas,hatchback,four,98,28,34
gas,sedan,four,98,28,34
gas,sedan,four,98,29,34
gas,hatchback,four,98,29,34
gas,sedan,four,98,26,29
gas,hatchback,four,98,26,29
gas,hardtop,four,146,24,30
gas,hardtop,four,146,24,30
gas,hatchback,four,146,24,30
gas,hardtop,four,146,24,30
gas,hatchback,four,146,24,30
gas,convertible,four,146,24,30
gas,sedan,four,122,29,34
diesel,sedan,four,110,30,33
gas,hatchback,four,122,27,32
gas,sedan,four,122,27,32
gas,hatchback,four,122,27,32
gas,hatchback,six,171,20,24
gas,hatchback,six,171,19,24
gas,sedan,six,171,20,24
gas,wagon,six,161,19,24
diesel,sedan,four,97,37,46
gas,sedan,four,109,27,34
diesel,sedan,four,97,37,46
gas,sedan,four,109,27,34
gas,sedan,four,109,27,34
diesel,sedan,four,97,37,42
gas,sedan,four,109,26,32
gas,convertible,four,109,24,29
gas,hatchback,four,109,24,29
gas,sedan,five,136,19,24
diesel,sedan,four,97,33,38
gas,wagon,four,109,25,31
gas,sedan,four,141,23,28
gas,wagon,four,141,23,28
gas,sedan,four,141,24,28
gas,wagon,four,141,24,28
gas,sedan,four,130,17,22
gas,wagon,four,130,17,22
gas,sedan,four,141,23,28
gas,sedan,four,141,19,25
gas,sedan,six,173,18,23
diesel,sedan,six,145,26,27
gas,sedan,four,141,19,25